entity_name,state,entity_type,individuals_affected,breach_date,breach_type,breach_location,business_associate,description,source,entity_type_raw,breach_type_raw,state_raw,breach_location_raw,year,month,quarter,day_of_week,year_month,severity,log_individuals,is_estimated,quality_flag
Leonard J. Chabert Medical Center,LA,Other,2254.0,2021-01-29,Hacking/IT Incident,Email,Yes,"The covered entity (CE), Leonard J. Chabert Medical Center, reported that an employee of its business associate (BA) was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 2,254 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, claims and financial information, diagnoses, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.",archive,Healthcare Provider,Hacking/IT Incident,LA,Email,2021,1,2021Q1,Friday,2021-01,Medium,7.720905251936779,False,
Long Beach Memorial Medical Center,CA,Other,2864.0,2013-07-11,Unauthorized Access/Disclosure,EMR,No,\N,archive,Healthcare Provider,Unauthorized Access/Disclosure,CA,Electronic Medical Record,2013,7,2013Q3,Thursday,2013-07,Medium,7.960323629148839,False,
"O'Neil Digital Solutions, LLC ",CA,Other,1722.0,2023-08-30,Unauthorized Access/Disclosure,Paper/Films,Yes,"The business associate (BA), O’Neil Digital Solutions, reported that a workforce member mailed the protected health information (PHI) of 1,722 individuals to the wrong recipients. The PHI involved included names, dates of birth, and health insurance information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the BA sanctioned the workforce member and strengthened its administrative safeguards. OCR provided technical assistance to the CE regarding the HIPAA Rules.",archive,Business Associate,Unauthorized Access/Disclosure,CA,Paper/Films,2023,8,2023Q3,Wednesday,2023-08,Medium,7.45182223652793,False,
Regional Obstetrical Consultants PC,TN,Other,25650.0,2024-07-02,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,TN,Network Server,2024,7,2024Q3,Tuesday,2024-07,High,10.152337836193745,False,
The Chautauqua Center Inc.,NY,Other,745.0,2023-03-06,Unauthorized Access/Disclosure,EMR,Yes,"TThe Chautauqua Center, the covered entity (CE), reported that it’s business associate (BA) inadvertently made the protected health information (PHI) of 745 individuals viewable over the Internet. The PHI involved included names, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts the CE switched to another electronic medical record service provider.",archive,Healthcare Provider,Unauthorized Access/Disclosure,NY,Electronic Medical Record,2023,3,2023Q1,Monday,2023-03,Low,6.61472560020376,False,
"County of San Bernardino, Department of Behavioral Health",CA,Other,686.0,2013-02-25,Theft,Paper/Films,No,\N,archive,Health Plan,Theft,CA,Paper/Films,2013,2,2013Q1,Monday,2013-02,Low,6.532334292222349,False,
Lebanon VA Medical Center,PA,Other,1002.0,2019-01-16,Unauthorized Access/Disclosure,Email,No,"An employee of the covered entity (CE) inadvertently emailed a document with protected health information (PHI) to an unintended recipient. The breach potentially affected the PHI of 993 individuals and included names and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE restricted the ability of certain documents to be opened by unintended recipients, and retrained staff members. OCR reviewed the CE's policies and procedures to ensure compliance with the Privacy and Security Rules and obtained assurances that the CE implemented the corrective action steps listed above.",archive,Healthcare Provider,Unauthorized Access/Disclosure,PA,Email,2019,1,2019Q1,Wednesday,2019-01,Medium,6.910750787961936,False,
"ERLC LLC, d/b/a Elitecare Emergency Hospital",TX,Other,24754.0,2024-09-16,Hacking/IT Incident,Network Server,No,"The covered entity (CE), ERLC dba Elitecare Emergency Hospital, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 24,754 individuals. The PHI involved included names, dates of birth, addresses, drivers’ license numbers, social security numbers, and financial information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were also retrained in its requirements to protect and secure PHI.",archive,Healthcare Provider,Hacking/IT Incident,TX,Network Server,2024,9,2024Q3,Monday,2024-09,High,10.116782767795524,False,
"Continental Cafe Holdings, LLC Health Plan",MI,Other,5039.0,2024-11-27,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Continental Café Holdings, LLC Health Plan, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 5,039 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and health insurance information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",archive,Health Plan,Hacking/IT Incident,MI,Network Server,2024,11,2024Q4,Wednesday,2024-11,Medium,8.525161361065415,False,
Baylor College of Medicine,TX,Other,801.0,2024-03-29,Hacking/IT Incident,Email,Yes,"The covered entity (CE), Baylor College of Medicine, reported that an employee of its business associate (BA)was the subject of an email phishing scheme that affected the protected health information (PHI) of 801 individuals. The PHI involved included names and dates of birth. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and the CE and BA implemented additional administrative, technical, and security safeguards.",archive,Healthcare Provider,Hacking/IT Incident,TX,Email,2024,3,2024Q1,Friday,2024-03,Low,6.687108607866515,False,
Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group,TN,Other,3812.0,2019-07-26,Hacking/IT Incident,Email,No,"Perry County Medical Center dba Three Rivers Community Health Group, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,958 individuals.  The ePHI involved included names, birthdates, clinical information, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented new technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",archive,Healthcare Provider,Hacking/IT Incident,TN,Email,2019,7,2019Q3,Friday,2019-07,Medium,8.246171559857563,False,
La Liga Puertorriquena Contra El Cancer DBA Hospital Oncológico,,Other,4590.0,2024-09-16,Hacking/IT Incident,Email,No,"The covered entity (CE), La Liga Puertorriquena Contra El Cancer dba Hospital Oncológico, reported that an employee was the subject of an email phishing incident that affected the protected health information (PHI) of 4,590 individuals. The PHI involved included names, addresses, Social Security and drivers’ license numbers, diagnoses, and birthdates. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.",archive,Healthcare Provider,Hacking/IT Incident,,Email,2024,9,2024Q3,Monday,2024-09,Medium,8.431853144249223,False,
Motion Picture Industry Health Plans (MPI),CA,Other,703.0,2012-02-15,Theft,Other,No,"The covered entity (CE), Motion Picture Industry Health Plans (MPIHP), mistakenly sent mailings containing protected health information (PHI) to the prior address of approximately 700 individuals due to a computer error.  The PHI involved in the breach included names, claim numbers, dates of service, and provider names.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  Following the breach, the CE instituted additional safeguards including automatic suppression of documents when conflicting addresses are contained in multiple computer systems.  As a result of OCR's investigation, the CE updated its policies, conducted a new risk analysis, and developed a new risk management plan.",archive,Health Plan,Theft,CA,Other,2012,2,2012Q1,Wednesday,2012-02,Low,6.556778356158042,False,
Harris Eye Care,MI,Other,6267.0,2023-08-08,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Harris Eye Care, reported that it experienced a ransomware attack affecting the protected health information (PHI) of 6,267 individuals. The PHI included names, addresses, dates of birth, drivers’ licenses and social security numbers, claims and financial information, diagnoses/conditions, lab results, and medications. The CE notified HHS, the affected individuals, and the media. The CE implemented additional administrative, technical, and security safeguards. OCR provided technical assistance to the CE.",archive,Healthcare Provider,Hacking/IT Incident,MI,Network Server,2023,8,2023Q3,Tuesday,2023-08,Medium,8.74321260347591,False,
"Liberty Resources, Inc.",PA,Other,3183.0,2012-08-17,Theft,Portable Device,No,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. \\\",archive,Healthcare Provider,Theft,PA,Laptop,2012,8,2012Q3,Friday,2012-08,Medium,8.065893546964274,False,
