entity_name,state,entity_type,individuals_affected,breach_date,breach_type,breach_location,business_associate,description,source,entity_type_raw,breach_type_raw,state_raw,breach_location_raw,year,month,quarter,day_of_week,year_month,severity,log_individuals,is_estimated,quality_flag
University of Utah,UT,Other,5096.0,2020-04-03,Hacking/IT Incident,Email,No," The covered entity (CE), University of Utah, reported that multiple employees were the victims of an email phishing attack affecting the protected health information (PHI) of 5,096 individuals.  This case was consolidated into an existing compliance investigation.",archive,Healthcare Provider,Hacking/IT Incident,UT,Email,2020,4,2020Q2,Friday,2020-04,Medium,8.536407410340042,False,
Western Health Advantage,CA,Other,869.0,2019-12-13,Unauthorized Access/Disclosure,Network Server,Yes,"Cognizant TriZetto Software Group, Inc., a business associate (BA) of Western Health Advantage,  experienced a communication error while performing routine maintenance on its servers which allowed another covered entity to inadvertently download the electronic protected health information (ePHI) of 869 individuals.  The ePHI involved included names, birthdates, addresses, diagnoses, clinical information, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the BA implemented additional technical safeguards to better protect its ePHI. ",archive,Health Plan,Unauthorized Access/Disclosure,CA,Network Server,2019,12,2019Q4,Friday,2019-12,Low,6.76849321164863,False,
Asante Ashland Community Hospital,OR,Other,8834.0,2023-02-24,Unauthorized Access/Disclosure,EMR,No,"The covered entity (CE), Asante Ashland Community Hospital, reported that one of its affiliate providers impermissibly accessed the protected health information (PHI) of 8,834 individuals. The PHI involved included names, addresses, dates of birth, diagnoses, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE sanctioned the responsible provider and implemented additional administrative safeguards to better protect PHI.",archive,Healthcare Provider,Unauthorized Access/Disclosure,OR,Electronic Medical Record,2023,2,2023Q1,Friday,2023-02,Medium,9.086476384753796,False,
Watson Clinic,FL,Other,280278.0,2024-05-08,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2024,5,2024Q2,Wednesday,2024-05,Critical,12.543540814617394,False,
Memorial Sloan Kettering Cancer Center,NY,Other,18913.0,2021-03-31,Unauthorized Access/Disclosure,Network Server,Yes,"The covered entity (CE), Memorial Sloan Kettering Cancer Center, reported that employees of its business associate misconfigured a server and exposed the protected health information (PHI) of 18,913 individuals. The PHI involved included names, Social Security numbers, dates of birth, addresses, financial information, diagnoses, lab results, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided free credit monitoring and fraud protection services, sanctioned workforce members responsible for the breach, and took the affected network server offline.",archive,Healthcare Provider,Unauthorized Access/Disclosure,NY,Network Server,2021,3,2021Q1,Wednesday,2021-03,High,9.847657667575458,False,
Regence BlueCross BlueShield of Oregon,OR,Other,856.0,2024-01-18,Unauthorized Access/Disclosure,Paper/Films,No,"Regence BlueCross BlueShield of Oregon, the covered entity (CE), reported that letters containing the protected health information (PHI) of 856 individuals were mailed to the wrong recipients. The PHI involved included names and health insurance information. The CE notified HHS, affected individuals, and the media. In response to the breach the CE retrained workforce members and implemented additional administrative safeguards to better protect PHI.",archive,Health Plan,Unauthorized Access/Disclosure,OR,Paper/Films,2024,1,2024Q1,Thursday,2024-01,Low,6.75343791859778,False,
"Lakeshore Bone & Joint Institute, PC",IN,Other,23627.0,2022-01-10,Hacking/IT Incident,Email,No,"The covered entity (CE), Lakeshore Bone & Joint Institute, reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) for 23,627 individuals. The impacted PHI included names, dates of birth, drivers’ license details, and diagnoses. The CE notified HHS and the affected individuals, and published media notice. In response to the breach, the CE implemented additional administrative and technical safeguards. OCR provided technical assistance.",archive,Healthcare Provider,Hacking/IT Incident,IN,Email,2022,1,2022Q1,Monday,2022-01,High,10.070187728427126,False,
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",RI,Other,9592.0,2024-08-27,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,RI,Network Server,2024,8,2024Q3,Tuesday,2024-08,Medium,9.168788944817948,False,
Harper County Community Hospital,OK,Other,5725.0,2021-05-24,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Harper County Community Hospital, reported that it was the victim of a ransomware attack affecting the protected health information (PHI) of 5,725 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, health insurance information, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards.",archive,Healthcare Provider,Hacking/IT Incident,OK,Network Server,2021,5,2021Q2,Monday,2021-05,Medium,8.65277248565806,False,
"Asheville Eye Associates, PLLC",NC,Other,204984.0,2025-01-17,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,NC,Network Server,2025,1,2025Q1,Friday,2025-01,Critical,12.230692084711729,False,
South Austin Health Imaging LLC dba Longhorn Imaging Center,TX,Other,100643.0,2023-11-03,Hacking/IT Incident,Network Server,Yes,,archive,Healthcare Provider,Hacking/IT Incident,TX,Network Server,2023,11,2023Q4,Friday,2023-11,Critical,11.519344816772412,False,
Chirobody,WA,Other,525.0,2019-09-19,Unauthorized Access/Disclosure,Desktop,No,"Chirobody, the covered entity (CE), reported that an employee sent a marketing email to individuals without concealing the individual email addresses of each person.  This breach affected the electronic protected health information (ePHI) of 525 individuals.  The ePHI involved included names and email addresses.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE sanctioned the responsible employee and sent an email to recipients of the initial email requesting they delete the email from their inboxes immediately.  In addition, the CE adopted additional administrative, technical, and security safeguards and retrained its staff.  During the investigation, OCR provided the CE with technical assistance regarding its security management process and other matters.",archive,Healthcare Provider,Unauthorized Access/Disclosure,WA,Desktop Computer,2019,9,2019Q3,Thursday,2019-09,Low,6.26530121273771,False,
Atlas Healthcare Group,CT,Other,10831.0,2023-10-13,Hacking/IT Incident,Network Server,No,"Atlas Healthcare Group reported that it experienced a cyber-attack that affected the protected health information (PHI) of 10,831 individuals. Upon further review, it was determined that the entity is not a part of OCR’s regulated community; the case was therefore closed.",archive,Healthcare Provider,Hacking/IT Incident,CT,Network Server,2023,10,2023Q4,Friday,2023-10,High,9.290259995152056,False,
"Young Adult Institute, Inc.",NY,Other,913.0,2016-11-28,Theft,Portable Device,No,"The covered entity's (CE) former Chief Information Officer instructed a former Assistant IT Director to copy files containing the protected health information (PHI) of 913 clients onto a portable computer drive. Subsequently, the former CIO took the drive with him to his new employer after he was terminated. The types of PHI involved in the breach included names, addresses, dates of birth, social security numbers, Medicaid numbers and diagnoses   The CE provided breach notification to HHS, the affected individuals, and the media.  As a result of OCR’s investigation, the CE revised its procedures with respect to assigning an approval process for access to removable media.  In addition, the CE conducted a risk analysis and established a risk management plan to manage and reduce the risks identified in the risk analysis, including, but not limited to, access to removable drives. As a result of OCR's investigation it is expected to implement technical security measures to guard against unauthorized access to ePHI, and review and revise its policies and procedures and training materials regarding the Security Rule. Additionally, the CE is expected to execute HIPAA-compliant business associate agreements with all existing business associates by September 1, 2017.",archive,Healthcare Provider,Theft,NY,Other Portable Electronic Device,2016,11,2016Q4,Monday,2016-11,Low,6.81783057145415,False,
Florida Agency for Persons with Disabilities,FL,Other,1951.0,2018-06-01,Hacking/IT Incident,Email,No,"The covered entity, (CE), Florida Agency for Persons with Disabilities, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 1,951 individuals.  The ePHI involved included names, dates of birth, addresses, other identifiers, Social Security numbers, and medical information. The CE notified HHS, affected individuals, the media, and provided substitute notice on its website. In response to the breach, the CE sanctioned the responsible employee and implemented additional technical safeguards to better protect its ePHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",archive,Health Plan,Hacking/IT Incident,FL,Email,2018,6,2018Q2,Friday,2018-06,Medium,7.576609766973037,False,
The Podiatric Offices of Bobby Yee,CA,Other,24000.0,2018-12-20,Hacking/IT Incident,Desktop,No,"The Podiatric Offices of Bobby Yee, the covered entity (CE), discovered that its data systems were impacted by a ransomware attack. The breach affected approximately 24,000 individuals.  The electronic protected health information (ePHI) involved included names, social security numbers, address, dates of birth, and diagnosis/conditions.  In response to the breach incident, the CE notified the affected individuals and media outlets.  In addition, the CE implemented new administrative and technical safeguards.  Following OCR’s investigation, the CE updated its HIPAA policies and procedures, and retrained its workforce members.",archive,Healthcare Provider,Hacking/IT Incident,CA,"Desktop Computer, Laptop, Other Portable Electronic Device",2018,12,2018Q4,Thursday,2018-12,High,10.085850775128716,True,
"Eduro Healthcare, LLC",UT,Other,8059.0,2021-12-09,Hacking/IT Incident,Network Server,No,,archive,Healthcare Provider,Hacking/IT Incident,UT,Network Server,2021,12,2021Q4,Thursday,2021-12,Medium,8.994668835500674,False,
zizzl llc,WI,Other,2416.0,2025-08-22,Hacking/IT Incident,Email,Yes,,under_investigation,Business Associate,Hacking/IT Incident,WI,Email,2025,8,2025Q3,Friday,2025-08,Medium,7.790282380703483,False,
Presbyterian Healthcare Services,NM,Other,1120629.0,2019-08-02,Hacking/IT Incident,Email,No,"The covered entity (CE), Presbyterian Healthcare Services, reported that numerous employees were the victims of an email phishing attack that affected the electronic protected health information (ePHI) of 1,120,629 individuals.  The ePHI involved included names, dates of birth, Social Security numbers, and clinical and health insurance information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE retrained its employees on how to recognize and respond to fraudulent email communications and implemented additional security safeguards to better protect its ePHI.",archive,Healthcare Provider,Hacking/IT Incident,NM,Email,2019,8,2019Q3,Friday,2019-08,Critical,13.929401585127453,False,
University of Miami,FL,Other,86000.0,2021-03-23,Hacking/IT Incident,Network Server,No,"The covered entity (CE), University of Miami, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 86,000 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notification on its website. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. It also provided complimentary credit monitoring and identity protection and restoration services. The CE subsequently ended its business relationship with the BA. ",archive,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2021,3,2021Q1,Tuesday,2021-03,High,11.362114203075018,True,
Quest Diagnostics Incorporated,NJ,Other,1062.0,2024-10-25,Unauthorized Access/Disclosure,Network Server,No,"The covered entity (CE), Quest Diagnostics, reported that an employee misconfigured a website that allowed the protected health information (PHI) of 1,062 individuals to become viewable by others. The PHI involved included names, addresses, health insurance information, and treatment information. The CE notified HHS and the affected individuals. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were also provided additional cybersecurity training.",archive,Healthcare Provider,Unauthorized Access/Disclosure,NJ,Network Server,2024,10,2024Q4,Friday,2024-10,Medium,6.968850378341948,False,
HealthSouth Rehabilitation Hospital of Round Rock,TX,Other,1359.0,2015-12-24,Theft,Portable Device,No,"The CE reported that an employee’s unencrypted laptop computer was stolen from a vehicle.  The CE determined that the laptop, which was password-protected, potentially included local copies of e-mails containing individuals’ names, addresses, dates of birth, social security numbers, phone numbers, insurance numbers, diagnoses, referral identification numbers or medical record numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  At the time of the incident, the CE was in the process of acquiring another facility and encrypting laptops owned by the facility.  In response to the breach, the CE took additional steps to locate and secure any other remaining laptops owned by the facility it was acquiring.  Further, the CE implemented additional technical safeguards to prevent similar breaches and sanctioned the involved workforce member.  OCR obtained assurances that the CE implemented the corrective actions listed above.  

",archive,Healthcare Provider,Theft,TX,Laptop,2015,12,2015Q4,Thursday,2015-12,Medium,7.215239978730097,False,
Allied Services Division Welfare Fund,IL,Other,5727.0,2025-05-07,Hacking/IT Incident,Email,No,,under_investigation,Health Plan,Hacking/IT Incident,IL,Email,2025,5,2025Q2,Wednesday,2025-05,Medium,8.653121708640482,False,
Sonoma Valley Healthcare District,CA,Other,69000.0,2020-12-09,Hacking/IT Incident,Email,No,"The covered entity (CE), Sonoma Valley Healthcare District, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 69,000 individuals. The PHI involved included names, dates of birth, addresses, claims information, diagnoses, lab results, and other treatment data. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. As part of the investigation, OCR provided technical assistance to the CE regarding the HIPAA Rules.",archive,Healthcare Provider,Hacking/IT Incident,CA,Email,2020,12,2020Q4,Wednesday,2020-12,High,11.141876276228,True,
"Safe Ride Services, Inc",AZ,Other,42000.0,2012-05-01,Hacking/IT Incident,Network Server,No,\N,archive,Healthcare Provider,"Hacking/IT Incident, Unauthorized Access/Disclosure",AZ,Network Server,2012,5,2012Q2,Tuesday,2012-05,High,10.645448706505872,True,
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,Other,8830.0,2014-04-24,Theft,Other,No,\N,archive,Health Plan,Theft,MA,Other,2014,4,2014Q2,Thursday,2014-04,Medium,9.086023537468805,False,
Walworth County Department of Health and Human Services,WI,Other,907.0,2021-03-12,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Walworth County Department of Health and Human Services, reported that several employees inadvertently sent the electronic protected health information (ePHI) of 907 individuals to unauthorized parties.  The ePHI involved included email addresses and vaccination information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE retrained employees on the proper methods of protecting ePHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",archive,Healthcare Provider,Unauthorized Access/Disclosure,WI,Email,2021,3,2021Q1,Friday,2021-03,Low,6.811244378601294,False,
Direct Scripts,OH,Other,9319.0,2019-03-06,Hacking/IT Incident,Network Server,No,"Direct Scripts, the covered entity (CE), reported that it experienced a ransomware attack that compromised the protected health information (PHI) of 9,319 individuals. The PHI involved included names, addresses, and prescription information. The CE notified HHS, affected individuals, the media, and posted substitute notice. The entity is no longer in business.
",archive,Healthcare Provider,Hacking/IT Incident,OH,Network Server,2019,3,2019Q1,Wednesday,2019-03,Medium,9.139917907679637,False,
City of Hope,CA,Other,902540.0,2023-12-12,Hacking/IT Incident,Network Server,No,"The covered entity (CE), City of Hope, reported that it experienced a cyber-attack that affected the protected health information (PHI) of 902,540 individuals. The PHI involved included names, dates of birth, Social Security and drivers’ license numbers, financial and health insurance information, diagnoses, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards.",archive,Healthcare Provider,Hacking/IT Incident,CA,Network Server,2023,12,2023Q4,Tuesday,2023-12,Critical,13.712969397520173,False,
Henry Ford Health System,MI,Other,2777.0,2012-11-05,Loss,Other,No,"Henry Ford Health System, the covered entity (CE) reported breaches that occurred on   September 24, 2010, January 31, 2011, August 5, 2011, and October 23, 2014. OCR consolidated the breaches into one investigation because the breaches contained similar issues and each breach involved employees who failed to follow the CE’s policies or procedures.  The September 24, 2010, breach affected 3,700 individuals and occurred when a laptop computer was stolen from an office left unlocked by an employee for approximately four hours while the employee was attending a meeting.  The January 31, 2011, breach affected 2,777 individuals and occurred when an employee lost a personal portable electronic device (a “flash” drive) containing protected health information (PHI).  The August 5, 2011, breach affected 520 individuals and occurred when an unencrypted desktop computer was stolen from a lab with secure access for workforce members.  The desktop computer had been purchased directly by the department instead of through the CE’s established computer purchase procedures. The October 23, 2014, breach affected 2,336 individuals and occurred when a physician lost a flash drive.  The physician failed to adhere to the CE’s policy mandating use of the CE’s issued flash drives and padlock. The PHI involved in the breaches included clinical and demographic information. The CE provided breach notification to the affected individuals, the media, and HHS.  To resolve the issues raised in these matters, the CE took the following voluntary actions: 1) sanctioned the employees involved in the breaches depending on the severity of the employees’ noncompliance; 3) following the September 24, 2010 breach, implemented an encryption process to purchase 2,000 additional encryption licenses; 4)  and on March 14, 2011, implemented a program for receiving and using encrypted flash drives.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.  After OCR provided substantial technical assistance to the CE on the Security Rule’s Risk Analysis requirements, the CE provided the following written assurances to OCR that it will:  create a more robust asset management program over the next 6-8 months and  would provide documentation of the program to OCR; complete an enterprise data mapping and asset inventory by December 31, 2017; and submit a fully executed copy of the business associate agreement (BAA) to OCR upon signature of a Master Service Agreement (MSA) and Statement of Work (SOW) for data mapping services once its vendor was chosen.",archive,Healthcare Provider,Loss,MI,"Other, Other Portable Electronic Device",2012,11,2012Q4,Monday,2012-11,Medium,7.9294865233142895,False,
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Other,106008.0,2017-08-24,Hacking/IT Incident,Network Server,No,"The covered entity (CE), McLaren Medical Group, Mid-Michigan Physicians Imaging Center, reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 106,008 individuals. The PHI involved included names, dates of birth, addresses, phone numbers, diagnoses, and Social Security numbers. The CE notified HHS, the affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative, technical and security safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,MI,Network Server,2017,8,2017Q3,Thursday,2017-08,Critical,11.5712792751503,False,
Emerson Hospital,MA,Other,6314.0,2019-03-08,Unauthorized Access/Disclosure,Other,Yes,"The covered entity (CE), Emerson Hospital, reported that its business associate (BA), MiraMed Global Services Inc. impermissibly transmitted electronic files containing protected health information (PHI) to an unauthorized third party.  This breach incident affected 6,314 individuals. The PHI involved included names, addresses, Social Security numbers, and insurance information.  Following this breach incident, the CE notified HHS, affected individuals, and the media, In addition, Emerson Hospital offered free identity protection services to all affected individuals.",archive,Healthcare Provider,Unauthorized Access/Disclosure,MA,Other,2019,3,2019Q1,Friday,2019-03,Medium,8.750683034784592,False,
Advanced Clinical Research Institute,CA,Other,875.0,2012-03-14,Theft,Paper/Films,No,\N,archive,Health Plan,Theft,CA,Paper/Films,2012,3,2012Q1,Wednesday,2012-03,Low,6.775366090936392,False,
Central New York Cardiology ,NY,Other,93983.0,2025-02-19,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Central New York Cardiology reported that it experienced a cybersecurity incident that affected the protected health information (PHI) of 93,983 individuals. The PHI involved include names, addresses, dates of birth, drivers’ license and Social Security numbers, medical diagnoses, financial information, and health insurance information. The CE notified HHS, the media, and affected individuals. In response to the breach, the CE implemented additional technical and security safeguards.",archive,Healthcare Provider,Hacking/IT Incident,NY,Network Server,2025,2,2025Q1,Wednesday,2025-02,High,11.450879833998346,False,
"Wardell Orthopaedics, P.C.",VA,Other,552.0,2018-08-16,Unauthorized Access/Disclosure,Other,No,"A staff member inadvertently faxed 552 patients' billing statements to a law firm without an authorization when responding to a medical records request for two clients of the law firm.  The billing statements contained protected health information (PHI), specifically, names and diagnoses.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE obtained verbal and written confirmation from the law firm that it shredded and/or permanently deleted all copies of the PHI.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The staff member responsible for the faxing error is no longer employed at the CE.",archive,Healthcare Provider,Unauthorized Access/Disclosure,VA,Other,2018,8,2018Q3,Thursday,2018-08,Low,6.315358001522335,False,
"Diamond Institute for Fertility and Menopause, LLC",NJ,Other,14633.0,2017-04-28,Hacking/IT Incident,Network Server,No,"On February 27, 2017, Diamond Institute for Fertility and Menopause LLC, the covered entity (CE), discovered that an unknown individual with a foreign internet address used a doctor’s login credentials to gain access to a computer server containing the electronic protected health information (ePHI) of patients. The breach affected 14,633 individuals and the types of ePHI involved included demographic information, lab results, and social security numbers.  The CE provided timely breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE disabled the compromised account, forced the intruder off its systems, purchased a new firewall, replaced the server and several workstations, and improved password protocols.  The CE terminated its business associate (BA) responsible for safeguarding its ePHI and hired a new BA.  OCR obtained assurances that the CE implemented the corrective actions listed.  In addition to the corrective actions completed, the CE is expected to perform a risk analysis, establish a risk management plan, document the unauthorized disclosure of its patients’ ePHI for accounting of disclosure purposes, execute agreements with BAs, perform a technical and non-technical evaluation in response to environmental or operational changes, and implement access controls and valid encryption processes.  The CE is also expected to develop policies and procedures and train all of its workforce members regarding the Breach Notification Rule’s requirements.",archive,Healthcare Provider,Hacking/IT Incident,NJ,Network Server,2017,4,2017Q2,Friday,2017-04,High,9.591102867443976,False,
Summa Rehabilitation Hospital,OH,Other,2986.0,2024-03-29,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Summa Rehabilitation Hospital, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 2,986 individuals. The PHI involved included names, dates of birth, Social Security and drivers’ license numbers, addresses, claims information, medications, diagnoses and conditions, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE offered free credit monitoring and implemented additional administrative, technical, and security safeguards. Staff were retrained in its requirements to protect and secure PHI.",archive,Healthcare Provider,Hacking/IT Incident,OH,Network Server,2024,3,2024Q1,Friday,2024-03,Medium,8.00202481821611,False,
Nelson Pharmacy Consulting Services PLC,IA,Other,13752.0,2023-02-10,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Nelson Pharmacy Consulting Services, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 13,752 individuals. The PHI involved included names, addresses, dates of birth, and diagnoses. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative and technical safeguards.",archive,Healthcare Provider,Hacking/IT Incident,IA,Network Server,2023,2,2023Q1,Friday,2023-02,High,9.529012261114708,False,
"Fort HealthCare, Inc.",WI,Other,19000.0,2019-05-08,Hacking/IT Incident,Email,Yes,"Fort HeathCare, Inc., the covered entity (CE), reported that an employee of its business associate (BA), OS, Inc., was the victim of an email phishing scheme affecting 19,000 individuals.  The protected health information (PHI) involved included names, addresses, and Social Security numbers. The CE notified HHS, affected individuals, the media, and provided complimentary identity theft monitoring services.",archive,Healthcare Provider,Hacking/IT Incident,WI,Email,2019,5,2019Q2,Wednesday,2019-05,High,9.852246888342531,True,
"Bayhealth Medical Center, Inc.",DE,Other,78006.0,2020-11-20,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Bayhealth Medical Center, reported that its business associate experienced a ransomware attack affecting the protected health information (PHI) of approximately 78,006 individuals. The PHI involved included names, addresses, gender, dates of birth, and other treatment information. The CE notified HHS, affected individuals, and the media.",archive,Healthcare Provider,Hacking/IT Incident,DE,Network Server,2020,11,2020Q4,Friday,2020-11,High,11.264553845234758,False,
"Doctors Hospital at Renaissance, LTD",TX,Other,501.0,2025-05-15,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,TX,Network Server,2025,5,2025Q2,Thursday,2025-05,Low,6.218600119691729,False,
Weirton Medical Center,WV,Other,26793.0,2024-03-18,Hacking/IT Incident,Network Server,No,"Weirton Medical Center, the covered entity (CE), reported that it experienced a ransomware attack that affected the protected health information (PHI) of approximately 26,793 individuals. The PHI involved included names, Social Security numbers, dates of birth, health insurance information, and claims and treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. The CE implemented additional technical safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,WV,Network Server,2024,3,2024Q1,Monday,2024-03,High,10.19593326083693,False,
Defense Health Headquarters,VA,Other,1620.0,2020-09-09,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Defense Health Headquarters, reported that its business associate (BA) was the victim of a cyber-attack that affected the electronic protected health information of 1,620 individuals.  The ePHI involved included names, Social Security numbers, birthdates, health insurance information, addresses, and treatment information.   The CE notified HHS and affected individuals.  The BA implemented additional administrative, technical, and security safeguards to better protect its ePHI.  OCR obtained assurances that the BA undertook the corrective actions noted.",archive,Health Plan,Hacking/IT Incident,VA,Network Server,2020,9,2020Q3,Wednesday,2020-09,Medium,7.390798521735676,False,
Gardner Health Services ,CA,Other,6197.0,2025-12-22,Unauthorized Access/Disclosure,Portable Device,Yes,"The covered entity (CE), Gardner Health Services, reported that a subcontractor of its business associate (BA) experienced a cyberattack that compromised the protected health information (PHI)  of 6,197 individuals. The PHI involved includes names, addresses, dates of birth, Social Security numbers, health insurance information, and treatment information. The CE notified HHS, affected individuals, the media, and published substitute notice on its website. The CE provided free credit monitoring to the affected individuals. OCR provided technical assistance to the CE regarding the HIPAA Rules.",archive,Healthcare Provider,Unauthorized Access/Disclosure,CA,Other Portable Electronic Device,2025,12,2025Q4,Monday,2025-12,Medium,8.731981938347694,False,
The MetroHealth System,OH,Other,1230.0,2023-06-23,Unauthorized Access/Disclosure,EMR,No,"The covered entity (CE), The MetroHealth System, reported that an employee impermissibly accessed the protected health information (PHI) of 1,230 individuals. The PHI involved included names, dates of birth, medical images, lab results, and other treatment information. The CE notified HHS and affected individuals. In response to the breach, the CE sanctioned the employee, implemented additional technical safeguards, and set up a call center for questions or concerns.",archive,Healthcare Provider,Unauthorized Access/Disclosure,OH,Electronic Medical Record,2023,6,2023Q2,Friday,2023-06,Medium,7.115582126184454,False,
TEMPLE COMMUNITY HOSPITAL,CA,Other,603.0,2012-08-15,Theft,Desktop,No,\N,archive,Healthcare Provider,Theft,CA,Desktop Computer,2012,8,2012Q3,Wednesday,2012-08,Low,6.403574197934815,False,
Berkshire Farm Center & Services for Youth,NY,Other,951.0,2022-10-06,Hacking/IT Incident,Email,No,"The covered entity (CE), Berkshire Farm Center & Services for Youth, reported that an employee was the subject of an email phishing scheme which affected the protected health information (PHI) of 951 individuals. The PHI involved included names, dates of birth, and treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,NY,Email,2022,10,2022Q4,Thursday,2022-10,Low,6.858565034791365,False,
Panoramic Health,AZ,Other,6228.0,2024-08-28,Hacking/IT Incident,Email,Yes,"The business associate (BA), Panoramic Health, reported that an employee was the subject of an email phishing scheme that affected the protected health information (PHI) of 6,228 individuals. The PHI involved included names, dates of birth, Social Security and drivers’ license numbers, addresses, diagnoses/conditions, lab results, medications, claims and financial information, and other treatment information. The BA notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security precautions.",archive,Business Associate,Hacking/IT Incident,AZ,Email,2024,8,2024Q3,Wednesday,2024-08,Medium,8.736971085254146,False,
Olson & White Orthodontics,MO,Other,10000.0,2013-09-03,Theft,Desktop,No,"On July 22, 2013, two desktop computers that contained protected health information (PHI) were stolen from the covered entity (CE), Olson & White Orthodontics, during a break-in.  The names, addresses, dates of birth, social security numbers, claims information, diagnoses, and treatment information affecting 10,000 were reportedly disclosed. The CE utilized a system for encryption to protect its PHI; however, a software oversight may have resulted in some PHI being stored in an unencrypted manner on the stolen computers.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website.  Following the breach, the CE reported the theft to the proper authorities, added offsite data backup storage, and improved physical safeguards.  Additionally, it retrained staff and eliminating office procedures that resulted in the storage of unencrypted PHI.  As a result of OCR’s investigation, the CE updated its uses and disclosures policy and provided training on the updated policy. The CE also provided OCR documentation of its corrective actions.",archive,Healthcare Provider,Theft,MO,"Desktop Computer, Network Server",2013,9,2013Q3,Tuesday,2013-09,High,9.210440366976515,True,
"Phoenician Medical Center, Inc",AZ,Other,163532.0,2023-07-05,Hacking/IT Incident,Network Server,No,"The covered entity, Phoenician Medical Center, reported that its network was hacked and compromised by ransomware that affected the protected health information (PHI) of 163,532 individuals. The PHI involved included names, state identification, dates of birth, diagnoses, medications, health insurance information, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE provided complimentary credit monitoring services and strengthened its administrative, technical, and security safeguards to better protect its sensitive data. ",archive,Healthcare Provider,Hacking/IT Incident,AZ,Network Server,2023,7,2023Q3,Wednesday,2023-07,Critical,12.004770083815917,False,
